ID,タイトル,勤務地,求人概要,必須要件,ポジション（職種）,年収帯(低),年収帯(高),企業名
ea18ae46-83e2-4418-95be-0d200aba7ede,★営業未経験OK【コンサルティング営業/アソシエイト】年間休日120日/月給30万円から/月平均残業時間15h/リモート有,東京都,"■セールスマーケコンサルティング「Growth DX」
BtoBセールスマーケティングの領域で、クライアント様の事業成長を推進します。
自社の得意なケイパビリティに依存して施策提案をするわけではなく（テレアポ得意→テレアポやりましょう！）、クライアント様の事業フェーズ、マーケット環境、競合の動きなどをもとに、戦略施策を選定するフェーズから実行フェーズまで一気通貫してご支援をさせていただいてお...",,マーケティング,360,540,株式会社Growth DX
f9b5953a-6e11-47eb-84ac-30b37529b24f,東証プライム上場【空調機器の法人営業】飛び込み営業なし/土日祝休み/研修制度充実/時短勤務有り,東京都,"空調機器の製造、販売
営業品目	空気調和機（ユニット型・ターミナル型・コンパクト型他）
データセンター空調機
ファンコイルユニット",,セールス,400,510,新晃工業株式会社
d2ec041d-9986-44b2-a4af-1ea8757a138b,【学歴不問/未経験歓迎/面接1回】医療×IT課題解決営業/みんくす/東証グロース市場上場/インセンティブあり/成果主義/土日休み/EPARKくすりの窓口,東京都,・薬局・医療向けソリューションの提供,,フィールドセールス,330,550,株式会社くすりの窓口
34fdbad0-adde-4e2e-84b4-9cfa42113d5b,【法人営業（リーダー候補）】IT×人材／新規開拓なし／深耕営業に集中できる環境／急成長フェーズでマネジメントへ最短昇格も可能｜グロース上場グループ,東京都,"近年、IT化に伴う人材の枯渇が一層顕著になっており、ITフリーランスのニーズが高まってきております。
当社の他にもフリーランスと企業が出会える場が増加する一方で、
一般の会社員と異なり福利厚生等などのメリットを享受できない悩みを抱える方が多い状況です。
私たちは、2011年の創業以来、一貫した“フリーランス支援”の志を軸に、企業の人材リソースの支援は勿論、
フリーランスの働く環境の整備を行い...","・自社データベース（50万人規模）から候補者をピックアップ
・最適人材の提案、条件調整、クロージング
・稼働後のフォロー、追加ニーズの把握
・チームKPI管理、育成、組織改善のための施策立案",フィールドセールス,500,800,株式会社ココナラテック
678902c4-93b1-4583-8b85-f3e48a564d22,★面接1回★安定重視★【既存ルート営業】海外進出のベアリングメーカー|営業未経験OK◎<年商300億超の安定企業>,"大阪府, 愛知県",増員募集 / 更なる組織強化,,セールス,,,株式会社置田鉄工所
27db049d-8ff3-49cc-bc42-2b391ed5267e,リモートワークOK【スマートホームサービス・SaaSの法人営業(リーダー候補)】不動産業界の課題を解決するスマートホームサービスの営業マネジメント/ストックオプション制度/副業可能/転勤なし/福利厚生充実！,東京都,増員募集 / 更なる組織強化,,フィールドセールス,650,700,株式会社アクセルラボ
21692f0c-b0f7-4f21-ad9c-d2135e8473fe,【第二新卒歓迎/女性営業志望限定 】資金調達・キャッシュフロー改提の案営業/急成長金融ベンチャー/年間休日120日/ 土日休み/成長意欲で評価◎,"東京都, 大阪府, 福岡県",増員募集 / 新規部署立ち上げ,,フィールドセールス,,,ピーエムジー株式会社
1cb06061-f12e-4d7a-98e3-ee890a932297,未経験OK【測定機器の法人営業】個々の裁量を重視ノー残業DAY有り/年間休日120日,"広島県, 島根県",測量・計測機器システム販売、修理校正、レンタル、業務請負,,フィールドセールス,400,550,株式会社山陽測器
9207d8c7-7dfa-4eec-b3b5-1944e2b5c54c,【学歴不問/未経験OK】設備保全エンジニア/東証スタンダード上場の平山グループ/研修制度充実/安定基盤/日本のモノづくりを支える製造支援会社/手に職がつく！/資格取得可能！,東京都,"「お客様視点で問題点を改善し、技術・品質・コスト面で競争力をつけ、低コスト生産現場の構築を目指す」。
それが私たちの使命です。
経験豊かなコンサルタントが、TPS（Toyota Production System トヨタ生産方式）も取り入れ、
作業実施部隊と連動した実効性の高いコンサルティングを国内外問わず提供しています。
「現場改善コンサルティングと連動した請負体制」と 「製造請負優良適正...",,その他,,,株式会社平山
966f63ed-487b-4c75-809b-ef050d4ae877,【リモートワーク可 /東証グロース企業】国内最大級知見マッチングサービスのプロジェクト・マネジメント（ビザスクinterview）/世界中の知見を繋ぐ！/英語力活かせる！/グローバル市場へ拡大/福利厚生充実/ランチ補助あり/育休取得率100%/Global ENS事業,東京都,ビジネス分野に特化したナレッジプラットフォームの運営、新規事業創出/組織開発支援,,フィールドセールス,450,700,株式会社ビザスク
